trip_id,route_id,service_id,direction_id,shape_id,trip_short_name,trip_headsign,plk_category_code,plk_train_number,plk_train_name
PLK_IC_2026_219127950,IC_TLK,PLK_241,,RAIL_417,63106/7 Szczeliniec,Kraków Główny,TLK,63106/7,SZCZELINIEC
PLK_IC_2026_219177057_LEG0,IC_IC,PLK_175,,RAIL_326,3812/3 Szkuner,Ustka,IC,3812/3,SZKUNER
PLK_IC_2026_219177057_LEG1,IC_IC_BUS,PLK_175,,,3812/3 Szkuner,Ustka,IC,3812/3,SZKUNER
PLK_IC_2026_219298724,IC_IC,PLK_673,,RAIL_238,8302/3 Chełmoński 133 Saxonia,Kraków Główny,IC,8302/3,CHEŁMOŃSKI 133 SAXONIA
PLK_IC_2026_219699005,IC_IC,PLK_88,,RAIL_30,6206/7 Stryjeńska,Lublin Główny,IC,6206/7,STRYJEŃSKA
PLK_IC_2026_220119631,IC_IC,PLK_1,,RAIL_157,86102 Swarożyc,Wrocław Główny,IC,86102,SWAROŻYC
PLK_IC_2026_220274686,IC_IC,PLK_538,,RAIL_29,8120/1 Włókniarz,Łódź Fabryczna,IC,8120/1,WŁÓKNIARZ
PLK_IC_2026_220512463,IC_IC,PLK_294,,RAIL_276,8156/7 Parsęta,Łódź Fabryczna,IC,8156/7,PARSĘTA
PLK_IC_2026_220595296,IC_IC,PLK_238,,RAIL_181,4120/1 Daszyński,Białystok,IC,4120/1,DASZYŃSKI
PLK_IC_2026_220742658,IC_IC,PLK_329,,RAIL_60,1033 Starzyński,Terespol,IC,1033,STARZYŃSKI
PLK_IC_2026_220922705,IC_IC,PLK_188,,RAIL_84,2300/1 Jagiełło,Kraków Główny,IC,2300/1,JAGIEŁŁO
PLK_IC_2026_220941058,IC_IC,PLK_254,,RAIL_55,19132/3 Korczak,Łódź Fabryczna,IC,19132/3,KORCZAK
PLK_IC_2026_221015653,IC_IC,PLK_332,,RAIL_70,2524/5 Kujawiak,Bydgoszcz Główna,IC,2524/5,KUJAWIAK
PLK_IC_2026_221157304,IC_IC,PLK_3,,RAIL_145,207 Porta Moravica,Graz Hauptbahnhof,EC/IC,34002/3,PORTA MORAVICA
PLK_IC_2026_221231511,IC_IC,PLK_463,,RAIL_79,5620/1 Słowacki,Wrocław Główny,IC,5620/1,SŁOWACKI
PLK_IC_2026_221250476,IC_IC,PLK_329,,RAIL_162,1510/1 Lazur,Gdynia Główna,IC,1510/1,LAZUR
PLK_IC_2026_222098849,IC_IC,PLK_44,,RAIL_141,1428/9 Pilecki,Żywiec,IC,1428/9,PILECKI
PLK_IC_2026_222314314_LEG0,IC_IC_BUS,PLK_254,,,8304/5 Malczewski,Kraków Główny,IC,8304/5,MALCZEWSKI
PLK_IC_2026_222314314_LEG1,IC_IC,PLK_254,,RAIL_342,8304/5 Malczewski,Kraków Główny,IC,8304/5,MALCZEWSKI
PLK_IC_2026_222370118,IC_IC,PLK_3,,RAIL_109,203 Danubius,Wien Westbahnhof,EC/IC,34006/7,DANUBIUS
PLK_IC_2026_222708746,IC_IC,PLK_192,,RAIL_264,3136/7 Witos,Warszawa Wschodnia,IC,3136/7,WITOS
PLK_IC_2026_222709365,IC_EIC,PLK_396,,RAIL_863,3106/7,Warszawa Wschodnia,EIC,3106/7,
PLK_IC_2026_222714514,IC_IC,PLK_0,,RAIL_63,3526/7 Sienkiewicz,Olsztyn Główny,IC,3526/7,SIENKIEWICZ
PLK_IC_2026_222788636,IC_IC,PLK_1,,RAIL_207,430 Ursa,Berlin-Charlottenburg,EC/IC,37010/1,URSA
PLK_IC_2026_223203780,IC_EIC,PLK_584,,RAIL_848,1400/1,Bielsko-Biała Główna,EIC,1400/1,
PLK_IC_2026_223435309,IC_IC,PLK_290,,RAIL_181,4120/1 Daszyński,Białystok,IC,4120/1,DASZYŃSKI
PLK_IC_2026_223543453,IC_IC,PLK_463,,RAIL_77,1626/7 Leśmian,Wrocław Główny,IC,1626/7,LEŚMIAN
PLK_IC_2026_223637302,IC_IC,PLK_613,,RAIL_278,7200/1 Strzelecki,Lublin Główny,IC,7200/1,STRZELECKI
PLK_IC_2026_223687125,IC_IC,PLK_336,,RAIL_96,57 Wawel,Przemyśl Główny,EC/IC,73002/3,WAWEL
PLK_IC_2026_224125743,IC_IC,PLK_10,,RAIL_120,303 Danubius,Wien Westbahnhof,EC/IC,74000/1,DANUBIUS
PLK_IC_2026_224215780,IC_EIC,PLK_623,,RAIL_849,1350/1 Tatry,Zakopane,EIC,1350/1,TATRY
PLK_IC_2026_224496520,IC_IC,PLK_261,,RAIL_153,6140/1 Śnieżka,Warszawa Wschodnia,IC,6140/1,ŚNIEŻKA
PLK_IC_2026_224514044,IC_IC,PLK_54,,RAIL_28,3407 Błatnia,Bielsko-Biała Główna,IC,3407,BŁATNIA
PLK_IC_2026_224698783,IC_IC,PLK_538,,RAIL_125,116 Silesia,Praha hlavní nádraží,EC/IC,14000/1,SILESIA
PLK_IC_2026_224699368,IC_EIP,PLK_477,,RAIL_868,5400/1,Gliwice,EIP,5400/1,
PLK_IC_2026_224800450,IC_IC,PLK_977,,RAIL_294,3522/3 Nida,Giżycko,IC,3522/3,NIDA
PLK_IC_2026_224805444,IC_IC,PLK_240,,RAIL_223,142 Hańcza,Mockava,IC,31000/1,HAŃCZA
PLK_IC_2026_226414526,IC_IC,PLK_254,,RAIL_160,33100 Malinowski,Kraków Główny,IC,33100,MALINOWSKI
PLK_IC_2026_226465078,IC_IC,PLK_336,,RAIL_45,7510/1 Pojezierze,Olsztyn Główny,IC,7510/1,POJEZIERZE
PLK_IC_2026_226978140,IC_TLK,PLK_0,,RAIL_385,85110/1 Bory Tucholskie,Gdynia Główna,TLK,85110/1,BORY TUCHOLSKIE
PLK_IC_2026_227400559,IC_TLK,PLK_133,,RAIL_417,63106/7 Szczeliniec,Kraków Główny,TLK,63106/7,SZCZELINIEC
PLK_IC_2026_227410607,IC_IC,PLK_254,,RAIL_288,5322/3 Nida,Kraków Główny,IC,5322/3,NIDA
PLK_IC_2026_227413214_LEG0,IC_IC,PLK_254,,RAIL_344,8114/5 Pobrzeże,Łódź Fabryczna,IC,8114/5,POBRZEŻE
PLK_IC_2026_227413214_LEG1,IC_IC_BUS,PLK_254,,,8114/5 Pobrzeże,Łódź Fabryczna,IC,8114/5,POBRZEŻE
PLK_IC_2026_227413214_LEG2,IC_IC,PLK_254,,RAIL_345,8114/5 Pobrzeże,Łódź Fabryczna,IC,8114/5,POBRZEŻE
PLK_IC_2026_227899969,IC_IC,PLK_274,,RAIL_239,1216/7 Inka,Lublin Główny,IC,1216/7,INKA
PLK_IC_2026_228394590,IC_EIP,PLK_754,,RAIL_863,3100/1,Warszawa Wschodnia,EIP,3100/1,
PLK_IC_2026_228473708,IC_IC,PLK_547,,RAIL_95,6142/3 Fredro,Warszawa Wschodnia,IC,6142/3,FREDRO
PLK_IC_2026_228479938,IC_IC,PLK_87,,RAIL_64,6124/5 Krasiński,Białystok,IC,6124/5,KRASIŃSKI
PLK_IC_2026_228590396,IC_IC,PLK_220,,RAIL_249,5600 Lednica,Wrocław Główny,IC,5600,LEDNICA
PLK_IC_2026_228619890,IC_EIP,PLK_290,,RAIL_854,4500/1,Gdynia Główna,EIP,4500/1,
PLK_IC_2026_228964044,IC_TLK,PLK_246,,RAIL_402,45102/3 Flisak,Gdynia Główna,TLK,45102/3,FLISAK
